7: Kazalniki bolniškega staleža po spolu in starosti, Slovenija, letno po spremenljivkah: Leto, Spol, Starost in Kazalnik;;;;;;;;
;;;;;;;;
;;;Primeri;Koledarski dnevi;Odstotek BS (% BS);Izgubljeni koledarski dnevi na zaposlenega (IO);Število primerov na 100 zaposlenih (IF);Povpre?no trajanje ene odsotnosti (R)
;;60 do 64 let;333;11026;5;19;57;33
;;65 do 69 let;53;1264;5;17;73;24
;;70 in ve? let;5;58;1;3;26;12
;;Neznano;782;11671;-;-;-;-
2003;Spol - SKUPAJ;Starost-SKUPAJ;753580;13931303;5;18;95;19
;;15 do 19 let;2260;25571;2;7;65;11
;;20 do 24 let;44173;626184;4;13;93;14
;;25 do 29 let;108927;1593178;4;15;101;15
;;30 do 34 let;138070;1834853;4;16;116;13
;;35 do 39 let;135263;1951771;4;15;105;14
;;40 do 44 let;111063;2085232;5;16;87;19
;;45 do 49 let;102860;2427735;5;20;84;24
;;50 do 54 let;79483;2306456;7;24;84;29
;;55 do 59 let;27815;927963;8;27;82;33
;;60 do 64 let;3347;142540;7;26;61;43
;;65 do 69 let;210;7560;3;12;34;36
;;70 in ve? let;41;1276;3;11;36;31
;;Neznano;68;984;-;-;-;-
;Moški;Starost-SKUPAJ;328953;6828956;4;16;75;21
;;15 do 19 let;1697;19319;2;8;66;11
;;20 do 24 let;26442;348146;3;12;91;13
;;25 do 29 let;46109;667157;3;12;80;15
;;30 do 34 let;50235;724353;3;12;81;14
;;35 do 39 let;50590;853061;4;13;76;17
;;40 do 44 let;45976;963929;4;15;69;21
;;45 do 49 let;45254;1148503;5;18;70;25
;;50 do 54 let;38960;1243246;6;23;71;32
;;55 do 59 let;20504;720693;7;27;77;35
;;60 do 64 let;2952;132888;8;28;62;45
;;65 do 69 let;166;6380;3;12;31;38
;;70 in ve? let;36;859;3;9;38;24
;;Neznano;32;422;-;-;-;-
;Ženske;Starost-SKUPAJ;424627;7102347;6;20;119;17
;;15 do 19 let;563;6252;2;7;61;11
;;20 do 24 let;17731;278038;4;15;98;16
;;25 do 29 let;62818;926021;5;19;126;15
;;30 do 34 let;87835;1110500;5;20;155;13
;;35 do 39 let;84673;1098710;5;17;134;13
;;40 do 44 let;65087;1121303;5;18;105;17
;;45 do 49 let;57606;1279232;6;22;100;22
;;50 do 54 let;40523;1063210;7;27;103;26
;;55 do 59 let;7311;207270;8;28;100;28
;;60 do 64 let;395;9652;4;14;58;24
;;65 do 69 let;44;1180;4;14;54;27
;;70 in ve? let;5;417;6;22;26;83
;;Neznano;36;562;-;-;-;-
2004;Spol - SKUPAJ;Starost-SKUPAJ;762273;14560366;5;18;93;19
;;15 do 19 let;2469;24957;2;7;73;10
;;20 do 24 let;43796;604350;4;13;95;14
;;25 do 29 let;108195;1576320;4;14;98;15
;;30 do 34 let;137997;1843913;4;15;113;13
;;35 do 39 let;134439;1963827;4;15;103;15
;;40 do 44 let;111666;2083168;4;16;84;19
;;45 do 49 let;102487;2517205;5;20;81;25
;;50 do 54 let;85597;2626974;7;25;82;31
;;55 do 59 let;31867;1143385;8;28;77;36
;;60 do 64 let;3463;166121;8;28;58;48
;;65 do 69 let;254;9087;4;13;37;36
;;70 in ve? let;32;998;2;8;24;31
;;Neznano;11;61;-;-;-;-
;Moški;Starost-SKUPAJ;333959;7171246;4;16;74;22
;;15 do 19 let;1944;19303;2;7;75;10
;;20 do 24 let;26909;347429;3;12;93;13
;;25 do 29 let;46809;660461;3;11;80;14
;;30 do 34 let;51272;735541;3;12;80;14
;;35 do 39 let;50477;867498;4;13;75;17
;;40 do 44 let;45559;942690;4;14;67;21
;;45 do 49 let;44362;1187234;5;18;66;27
;;50 do 54 let;40496;1368124;6;23;69;34
;;55 do 59 let;22920;880547;7;27;71;38
;;60 do 64 let;2985;153944;8;29;56;52
;;65 do 69 let;201;7753;4;13;34;39
