4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Gospodarske dejavnosti po SKD, Kazalnik, Leto in Spol;;;
;;;
;;;Spol - SKUPAJ
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;21
E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;18
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;13
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;13
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
F GRADBENIŠTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;13
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;14
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;13
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;13
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;14
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;13
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;13
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;13
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;13
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;13
H PROMET IN SKLADIŠ?ENJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;14
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;15
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;15
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;14
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;14
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;14
I GOSTINSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;9
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;9
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;9
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;9
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;9
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;10
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;9
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;9
J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;9
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;13
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;14
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
K FINAN?NE IN ZAVAROVALNIŠKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;12
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;14
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;10
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;10
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;11
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
L POSLOVANJE Z NEPREMI?NINAMI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;14
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;8
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;8
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;9
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;9
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;9
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;9
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;9
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;9
M STROKOVNE, ZNANSTVENE IN TEHNI?NE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;9
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;16
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;16
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;16
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;15
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;19
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;17
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;31
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;25
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;22
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;23
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;23
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;24
O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;26
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;13
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;13
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;13
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;14
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
P IZOBRAŽEVANJE;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;18
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;19
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;18
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;19
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;20
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;20
Q ZDRAVSTVO IN SOCIALNO VARSTVO;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;23
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;11
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;12
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;12
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;12
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;11
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;11
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;10
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;12
R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;11
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;11
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;12
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;12
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;10
S DRUGE DEJAVNOSTI;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;10
