;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
50 do 54 let;Primeri;65366;68388;73745;79483;85597;92903;82596;89903;82166;81176;80619;80191;80107;84135;80061;93736;90366;98305;103951
;Koledarski dnevi;1837973;1932574;2118130;2306456;2626974;2631833;2355584;2506220;2499614;2370016;2283566;2278639;2272775;2229530;1979288;2100824;2192580;2341524;2555020
;Odstotek BS (% BS);7;6;7;7;7;7;6;6;6;6;5;5;6;5;5;5;5;5;6
;Izgubljeni koledarski dnevi na zaposlenega (IO);24;23;24;24;25;24;21;22;21;20;20;20;21;20;17;18;18;19;20
;Število primerov na 100 zaposlenih (IF);85;82;83;84;82;85;73;77;70;69;69;69;72;74;69;78;73;79;82
;Povpre?no trajanje ene odsotnosti (R);28;28;29;29;31;28;29;28;30;29;28;28;28;27;25;22;24;24;25
55 do 59 let;Primeri;18542;20427;24023;27815;31867;38633;36900;43741;42735;44942;46707;44328;47267;49872;52595;65504;66168;75041;83281
;Koledarski dnevi;672918;721289;862729;927963;1143385;1339680;1246060;1475187;1547484;1572863;1608122;1583254;1680149;1537062;1599638;1805364;1960894;2303127;2612474
;Odstotek BS (% BS);8;7;8;8;8;8;7;7;7;7;7;6;8;6;6;6;6;7;7
;Izgubljeni koledarski dnevi na zaposlenega (IO);29;27;29;27;28;28;24;25;25;24;25;23;29;23;22;23;23;25;27
;Število primerov na 100 zaposlenih (IF);79;77;80;82;77;81;70;75;68;68;71;63;80;76;72;84;77;81;85
;Povpre?no trajanje ene odsotnosti (R);36;35;36;33;36;35;34;34;36;35;34;36;36;31;30;28;30;31;31
60 do 64 let;Primeri;2361;2578;3115;3347;3463;3736;3954;5244;5520;6390;6877;5901;6356;6827;8280;12061;13693;17986;21758
;Koledarski dnevi;111290;118464;139102;142540;166121;147816;156300;202799;237594;281962;288661;263863;279952;271185;297833;395535;475104;620923;842089
;Odstotek BS (% BS);7;7;7;7;8;7;6;6;6;7;7;6;8;6;6;6;6;7;8
;Izgubljeni koledarski dnevi na zaposlenega (IO);27;25;27;26;28;25;22;23;23;25;26;22;28;23;21;24;23;25;29
;Število primerov na 100 zaposlenih (IF);57;54;60;61;58;62;55;60;54;56;62;48;63;59;59;72;66;73;75
;Povpre?no trajanje ene odsotnosti (R);47;46;45;43;48;40;40;39;43;44;42;45;44;40;36;33;35;35;39
65 do 69 let;Primeri;173;147;207;210;254;248;244;304;332;358;359;330;412;478;521;811;839;1304;1639
;Koledarski dnevi;7860;6133;8707;7560;9087;6672;9746;10248;15303;13465;9557;10502;12790;21886;15333;23989;30992;45569;68210
;Odstotek BS (% BS);5;3;4;3;4;3;3;3;4;3;3;2;3;4;3;4;3;4;5
;Izgubljeni koledarski dnevi na zaposlenega (IO);17;12;16;12;13;9;11;11;14;12;9;9;11;16;10;13;12;15;19
;Število primerov na 100 zaposlenih (IF);37;29;37;34;37;33;27;31;30;31;35;27;35;34;34;44;33;42;44
;Povpre?no trajanje ene odsotnosti (R);45;42;42;36;36;27;40;34;46;38;27;32;31;46;29;30;37;35;42
70 in ve? let;Primeri;66;24;35;41;32;63;27;29;42;54;59;76;70;44;44;62;64;86;136
;Koledarski dnevi;1433;1411;882;1276;998;2599;1924;1097;2118;1377;1970;3685;2825;2184;4324;2110;2673;5068;11130
;Odstotek BS (% BS);4;4;2;3;2;5;3;2;3;2;2;3;3;3;5;2;1;2;3
;Izgubljeni koledarski dnevi na zaposlenega (IO);16;14;9;11;8;18;12;6;9;5;7;12;12;9;18;8;4;7;13
;Število primerov na 100 zaposlenih (IF);73;24;34;36;24;43;17;16;18;21;21;25;29;18;18;23;10;12;15
;Povpre?no trajanje ene odsotnosti (R);22;59;25;31;31;41;71;38;50;26;33;49;40;50;98;34;42;59;82
Neznano;Primeri;492;454;1566;68;11;11;14;18;6;22;21;-;1;-;-;2;-;-;-
;Koledarski dnevi;6399;7147;27570;984;61;74;77;110;43;83;97;-;3;-;-;65;-;-;-
;Odstotek BS (% BS);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Izgubljeni koledarski dnevi na zaposlenega (IO);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Število primerov na 100 zaposlenih (IF);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Povpre?no trajanje ene odsotnosti (R);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
